Rank,Name,Wealth (in $1B USD),Country Headquartered,Company,Industry
278,Zhao Tao,5.7,China,Buchang,Pharmaceuticals
279,Antonia Ax:son Johnson,5.6,Sweden,Axel Johnson,Investments
280,Dannine Avara,5.6,United States,Enterprise Products,Energy
281,German Khan,5.6,Russia,Alfa,Energy
282,Giorgio Armani,5.6,Italy,Armani,Single Brand Retailing
283,Merlin Swire,5.6,United Kingdom,Swire Pacific,Logistics
284,Milane Frantz,5.6,United States,Enterprise Products,Energy
285,Randa Williams,5.6,United States,Enterprise Products,Energy
286,Scott Duncan,5.6,United States,Enterprise Products,Energy
287,Americo Amorim,5.5,Portugal,Galp Energia,Investments
288,David Geffen,5.5,United States,Geffen Records,Entertainment
289,Gianluigi Aponte,5.5,Switzerland,Mediterranean Shipping,Shipping
290,Philip & Tina Green,5.5,United Kingdom,Arcadia,Single Brand Retailing
291,Robert Ng,5.5,Singapore,Far East,Real Estate
292,Tsai Eng-Meng,5.5,Taiwan,Want Want,Food & Beverages
293,Xiao Jianhua & Zhou Hongwen,5.5,Hong Kong,Tomorrow,Investments
294,Anders Holch Povlsen,5.4,Denmark,Bestseller,Multi Brand Retailing
295,Benu Gopal Bangur,5.4,India,Shree Cements,Construction Materials
296,Daniel Gilbert,5.4,United States,Quicken Loans,Investments
297,Denis O'Brien,5.4,Ireland,Digicel,Telecom
298,Johann Rupert,5.4,South Africa,Richemont,Multi Brand Retailing
299,Karl-Heinz Kipp,5.4,Switzerland,Hotel Eden Roc,Hospitality
300,Leonard Lauder,5.4,United States,Estee Lauder,Cosmetics
301,Pansy Ho,5.4,Hong Kong,"Shun Tak , MGM China",Gaming
302,Pollyanna Chu,5.4,Hong Kong,Kingston Financial,Investments
303,Trevor Rees-Jones,5.4,United States,Marcellus,Energy
304,Yuri Milner,5.4,Russia,Mail.ru,Investments
305,Gong Hongjia、Chen Chunmei,5.3,Hong Kong,Hikvision Digital Technology,TMT
306,Jim Davis,5.3,United States,New Balance,Multi Brand Retailing
307,Jorn Rausing,5.3,United Kingdom,Tetra Pak,Packaging
308,Lino Saputo,5.3,Canada,Saputo,Food & Beverages
309,Pan Zhengmin、Wu Chunyuan,5.3,China,AAC Acoustic Technologies,Audio technology
310,Aloys Wobben,5.2,Germany,Enercon,Energy
311,Desh Bandhu Gupta,5.2,India,Lupin,Pharmaceuticals
312,Horst Paulmann,5.2,Chile,Cencosud,Multi Brand Retailing
313,James Crown,5.2,United States,General Dynamics,Aerospace
314,John Doerr,5.2,United States,Kleiner Perkins Caufield & Byers,Investments
315,Lim Kok Thay,5.2,Malaysia,Genting Group,Hospitality
316,Ma Xingtian,5.2,China,Kangmei,Pharmaceuticals
